name,LCD_x_[A],LCD_y_[A],LCD_z_[A],GCD_x_[A],GCD_y_[A],GCD_z_[A],PLD_x_[A],PLD_y_[A],PLD_z_[A],unitcell_vol_[Aˆ3],ASA_[mˆ2/g],AV_A^3,AV_Volume_fraction,node_connectivity,linker_length_[A],node_length_[A],linker_mass_[amu],node_mass_[amu],node_metal_mass_[amu],topology,cell_a_length_[A],cell_b_length_[A],cell_c_length_[A],alpha_[deg],beta_[deg],gamma_[deg],density,volume,number_of_vertices,number_of_edges,number_of_carbons_per_primitive_cell,number_of_hydrogens_per_primitive_cell,number_of_nitrogens_per_primitive_cell,number_of_oxygens_per_primitive_cell,formula,kx,ky,kz
SR_agw_v1-3c_B_Ch_v2-4c_ethene_Ch_v3-6c_Cr_1_Ch_1B_2SH_Ch_2x2x1,15.87499,9.62129,13.65033,9.62129,5.52344,15.76328,13.65033,9.50367,15.17795,42791.9,4254.68,20459.7,0.47812,6,70.00089446953679,3.0829377009265047,6621.15,171.987,51.996,agw,25.41848,39.26555,42.87572,90.25994,90.31291,90.05917,0.54059,42791.89964,1192.0,1712.0,624,360,0,52,Cr12 H360 C624 S144 O52,0.35214,0.09388,0.19685
SR_ceh_v1-3c_B_Ch_v2-6c_Mg_1_Ch_v3-4c_bicyclooctane_Ch_3B_fused_8H_Ch_1x1x2,15.47091,10.69268,15.40380,10.69268,7.54323,14.04465,15.40380,8.67795,15.47091,38514.1,5764.47,20203,0.52456,5,44.63634295350232,0.0,45.016999999999996,24.305,24.305,ceh,22.4474,43.97227,44.61279,118.91291,91.42969,90.95363,0.39689,38514.11378,1068.0,1571.0,648,360,0,48,Mg12 H360 C648 O48,0.04954,0.09302,0.04034
SR_tsh_v1-3c_triazine_Ch_v2-3c_triazine_Ch_v3-6c_CdZn_1_Ch_ntn_edge_2x2x1,7.15076,5.37837,7.15076,5.38824,5.38824,7.06772,7.06772,3.44480,7.00056,3802.59,2373.89,1015.75,0.26712,6,20.887743399727626,3.2591278328351896,576.27,418.579,65.38,tsh,13.48694,13.48694,24.1392,90.0,90.0,120.0,1.30339,3802.59471,141.0,192.0,54,0,36,39,Zn3 Cd9 C54 N36 O39,0.20328,0.17588,0.10612
SR_sne_v1-6c_Al_1_Ch_1B_2CH3_Ch_1x1x2,11.30936,7.19157,9.55695,7.72079,7.72079,11.18700,11.18700,7.21268,11.10259,27671,3843.71,10477.9,0.37866,6,7.363945540592965,3.0902564691771133,192.169,96.945,26.982,sne,26.00725,26.2392,40.55508,90.01264,90.07929,90.9863,0.64662,27671.03423,1120.0,1874.0,480,384,0,208,Al48 H384 C480 O208,0.07148,0.07268,0.07987999999999999
SR_win_v1-6c_Cr_1_Ch_1B_2TrU_Ch_1x1x1,31.79746,30.76421,31.65436,30.76421,10.05899,31.67542,31.65436,10.08073,31.67244,192251,5494.81,148952,0.77478,6,12.326139909327535,3.093103534423312,212.16,171.987,51.996,win,32.37579,76.83545,77.28352,89.93507,89.9878,89.98655,0.22345,192251.00183,2048.0,2662.0,1152,384,0,416,Cr96 H384 C1152 O416,0.03505,0.04017,0.03354
SR_xab_v1-6c_Ni_1_Ch_v2-3c_B_Ch_1B_2TrU_Ch_1x1x1,25.72294,17.22175,24.96699,17.22175,17.22175,25.72294,25.72294,16.72639,25.72294,78668.8,6787.25,65320.3,0.83032,6,28.57945551537889,5.948583230534308,946.923,268.786,58.693000000000005,xab,40.55452,41.97174,46.21752,89.97389,89.97698000000003,89.95069000000002,0.14262,78668.80722999999,632.0,829.0,396,164,0,56,Ni16 H164 C396 O56,0.11186,0.1128,0.12377
SR_umo_v1-4c_Cd_1_Ch_1B_2CN_Ch_1x1x1,29.17191,27.44778,29.11989,27.44778,9.30018,28.27194,29.11989,8.95586,28.81126,35518.6,4734.18,25419.2,0.71566,4,8.00653661843259,0.0,214.136,112.4,112.41,umo,27.70014,37.74832,38.80946,118.91917,90.54156,89.8415,0.30333000000000004,35518.553660000005,444.0,597.0,240,48,48,96,Cd12 H48 C240 N48 O96,0.10392,0.09437,0.17487
SR_wkh_v1-6c_Cr_1_Ch_1B_2Br_Ch_2x2x1,10.61709,7.58935,10.16304,7.58935,7.51028,10.61709,10.16304,7.51028,10.39519,20555.9,2188.11,7444.52,0.36216,6,7.513425914032227,3.1008626685562817,321.908,171.987,51.996,wkh,19.99853,20.0838,58.53774,90.5095,89.86358,119.03438,1.10287,20555.90041,624.0,986.0,288,72,0,156,Cr36 H72 C288 Br72 O156,0.13554000000000002,0.10663,0.18235
SR_fum_v1-4c_In_1_Ch_v2-4c_1anC_Ch_ntn_edge_1B_4CN_Ch_1x1x2,27.20669,3.58533,26.54760,24.01552,24.01552,27.20669,27.20669,3.75438,26.54760,53838.3,2502,28180,0.52342,4,14.789920874349361,0.0,1921.362,114.8,114.82,fum,38.77106,39.39469,39.93458,91.35103,118.00433,89.40191,0.61533,53838.2803,1344.0,1709.0,840,0,288,192,In24 C840 N288 O192,0.1547,0.13538,0.16938
SR_ahr_v1-6c_Ni_1_Ch_v2-6c_Ni_1_Ch_v3-3c_triazine_Ch_1B_2CH3_Ch_ntn_edge_2x2x1,11.25183,9.18033,10.97195,9.18033,7.16284,11.22166,10.97195,3.47319,11.18813,76247.4,3856.62,31833.3,0.4175,6,21.41078494402982,5.888191133148277,644.5980000000001,268.786,58.693000000000005,ahr,35.69813,36.74708,66.19914,94.35036,90.55605,118.1473,0.64586,76247.37742,2784.0,4393.0,1224,912,216,336,Ni96 H912 C1224 N216 O336,0.21195,0.25374,0.37114
SR_xab_v1-6c_Ni_1_Ch_v2-3c_triazine_Ch_1TrU_Ch_ntn_edge_2x2x2,8.09033,4.31536,7.81705,4.33435,4.33435,8.09033,8.09033,4.32278,7.64085,34758.3,2425.81,7213.73,0.20754,6,9.303128920414787,5.88386454725948,356.166,268.786,58.693000000000005,xab,30.06535,31.593770000000006,36.7924,90.83838,93.91058,94.37808,1.22765,34758.25435,1504.0,2159.0,576,64,288,448,Ni128 H64 C576 N288 O448,0.12649000000000002,0.1696,0.12264
SR_ism_v1-4c_bicyclooctane_Ch_v2-4c_Cd_1_Ch_v3-4c_Cd_1_Ch_v4-4c_bicyclooctane_Ch_v5-4c_1anC_Ch_6_edges_1x1x2,9.01050,4.62049,8.55851,4.62049,4.33376,8.83910,8.55851,4.30534,8.99001,13673.5,2388.84,3787.3,0.27698,6,15.30408754166703,0.0,752.55,112.4,112.41,ism,12.71494,32.77969,32.80815,90.54395,90.0419,90.01411999999998,1.08972,13673.544780000002,556.0,950.0,260,80,0,192,Cd24 H80 C260 O192,0.04568,0.05546,0.03561
SR_kle_v1-3c_triazine_Ch_v2-12c_Zr_1_Ch_v3-3c_triazine_Ch_1B_2Br_Ch_ntn_edge_1x1x1,9.06043,2.90190,9.05972,2.92232,2.92232,9.03988,9.03988,2.89653,8.78134,16706.3,1524.87,1925.57,0.11526,12,11.657876971376435,5.711222834268071,566.034,679.368,79.904,kle,25.55837,25.56652,25.56694,90.03607,90.13917,90.15509,1.61151,16706.3076,840.0,1564.0,312,56,144,256,Zr48 H56 C312 Br24 N144 O256,0.09938,0.09911,0.08269
SR_whf_v1-6c_Fe_1_Ch_1B_2NH2_Ch_1x1x2,17.96677,5.49182,17.85979,13.88491,5.32613,17.82844,17.89821,13.88491,17.89821,59467,3227.06,25806.3,0.43396,6,7.442646033112817,3.4191894790515773,194.145,183.53400000000002,55.845,whf,36.03813,36.1364,45.66442,89.82932,89.67517,89.9365,0.6844399999999999,59466.97848,2048.0,3017.0,768,576,192,416,Fe96 H576 C768 N192 O416,0.18434,0.15763,0.17624
SR_csq_v1-4c_ethene_Ch_v2-8c_Co_1_Ch_ntn_edge_2x2x3,11.40906,10.93497,11.40906,10.93497,0.32228,11.40906,11.40906,0.42985,11.32221,1828.96,805.526,517.083,0.28272,16,9.170335894355564,4.057923166455841,600.174,251.731,58.933,csq,6.7050800000000015,17.6884,17.7452,60.3451,89.94919,89.96627,1.77548,1828.95863,99.0,178.0,36,0,0,51,Co12 C36 O51,0.10747,0.10542,0.1233
SR_crsd_v1-8c_Co_2_Ch_v2-4c_bicyclooctane_Ch_1B_4CN_Ch_ntn_edge_1x1x1,7.26505,3.70709,6.50811,3.79444,3.67354,6.27750,6.23511,3.79444,6.23511,22020.6,3099.8,3764.64,0.17096,16,6.084846100469838,4.9419814702191065,134.102,271.182,58.933,crsd,27.90596,28.07624,28.10753,90.02964,90.33271,90.58339,0.97261,22020.5825,968.0,1274.0,512,96,320,0,Co32 H96 C512 N320 Cl8,0.02764,0.02469,0.05229
SR_mof_v1-4c_1anC_Ch_v2-3c_Cu_imadazoline_Ch_v3-4c_bicyclooctane_Ch_1B_2CN_Ch_ntn_edge_1x1x1,47.59713,29.70192,46.85854,30.10863,30.10863,47.59713,47.59713,30.10863,47.34495,458559,4752.88,399121,0.87038,2,27.10197743781105,0.0,3223.1279999999997,63.54600000000001,63.54600000000001,mof,76.87318,77.17201,77.29966,90.00520999999998,90.39604,90.30808,0.13799,458559.37821000005,3080.0,4061.0,1720,672,544,0,Cu144 H672 C1720 N544,0.23251,0.19953,0.36837
SR_fry_v1-3c_B_Ch_v2-4c_In_1_Ch_ntn_edge_1B_2SH_Ch_1x2x1,18.91498,12.62405,17.89420,12.62405,12.33812,17.89420,17.89420,9.62981,17.57511,51100.7,4334.98,33761.2,0.66068,4,21.24586471102134,0.0,1037.265,114.8,32.06,fry,27.85309,40.07916,45.78476,90.97207,90.36839,90.46419,0.37253,51100.70521,832.0,1250.0,400,208,0,128,In16 H208 C400 S80 O128,0.03416,0.03752,0.03658
SR_fsk_v1-6c_Zr_1_Ch_v2-4c_bicyclooctane_Ch_v3-4c_bicyclooctane_Ch_1TrU_Ch_2TrU_Ch_1DoU_Ch_1x2x1,9.86495,6.20419,9.77506,6.93574,6.93574,9.82331,9.82331,6.27237,9.46782,29181.9,3520.82,12773.5,0.43772,6,18.77893269464109,11.04580053589784,662.5169999999999,889.498,91.224,fsk,22.78124,34.40586,37.23587,90.19532,90.24381,90.87792,0.70652,29181.91113,896.0,1563.0,304,288,0,256,Zr48 H288 C304 O256,0.08572,0.10436,0.09595
SR_myc_v1-6c_Zn_1_Ch_v2-3c_B_Ch_2B_2CF3_Ch_ntn_edge_1x1x1,23.89222,19.53341,23.67435,19.92799,19.49681,23.67435,23.53306,19.92799,23.53306,118322,4183.83,80217.4,0.67796,6,26.776752968412474,3.25072233273206,2022.95,277.519,65.38,myc,49.02557,49.10464,49.15036,89.73983,89.78572,89.95613,0.37185,118321.6743,1936.0,3162.0,960,264,0,104,Zn32 H264 C960 O104 F576,0.21731,0.1193,0.12127
SR_pda_v1-8c_Co_1_Ch_v2-6c_B_Ch_1DoU_Ch_1x1x1,23.42670,11.46587,23.12583,12.18583,11.88973,23.39385,23.12583,12.18583,23.12583,21607.6,2190.99,10211.3,0.47258,14,5.32822272227588,4.003384187527597,114.056,251.731,58.933,pda,27.741290000000006,27.8366,27.9995,91.54987,91.34912,90.30726,0.79137,21607.57675,756.0,1197.0,336,168,0,204,Co48 H168 C336 O204,0.21033,0.17932,0.27226
SR_pyf_v1-4c_Ni_1_Ch_v2-4c_1anC_Ch_v3-3c_triazine_Ch_v4-4c_bicyclooctane_Ch_1B_2CH3_Ch_ntn_edge_1x1x1,11.95334,5.70212,11.15645,5.70212,5.66128,11.18342,11.15645,5.66128,11.22059,37770.3,4458.08,14081.5,0.37282,4,35.53399578067191,2.388218910526211,6154.797,117.38600000000001,58.693000000000005,pyf,33.38985,33.41767,33.8542,89.48593000000002,89.35866999999998,89.63895,0.6031,37770.28075,1562.0,2519.0,762,608,72,96,Ni24 H608 C762 N72 O96,0.10874,0.16433,0.16186
SR_bcs_v1-6c_Zn_1_Ch_1B_2Br_Ch_1x1x1,7.37022,4.39186,6.61635,4.50927,4.45162,6.91592,6.60643,4.50927,6.60643,25839.5,2592.68,6022.67,0.23308,6,7.346727911124857,3.2708960970915903,321.908,277.519,65.38,bcs,29.484140000000004,29.58905,29.61966,89.74941,89.63955,89.79342,1.27844,25839.49446,848.0,1308.0,384,96,0,208,Zn64 H96 C384 Br96 O208,0.20563,0.18467,0.15737
SR_wip_v1-6c_Ni_1_Ch_1B_2OH_Ch_1x1x2,17.43716,16.22057,17.31345,16.22057,8.13876,17.42503,17.31345,8.13876,17.43716,68467.2,2760.46,36312.2,0.53036,6,7.547474212137994,5.767456955626107,196.114,268.786,58.693000000000005,wip,17.547279999999994,61.60699,63.3655,88.9314,89.884,88.57525,0.66522,68467.15617,1984.0,2692.0,768,448,0,640,Ni128 H448 C768 O640,0.11711,0.12812,0.10166
SR_nbo_v1-4c_V_1_Ch_1B_4H_Ch_2x2x2,15.63703,10.40061,15.63703,10.40061,10.40061,15.63703,15.63703,10.40061,15.62193,10190.4,4461.42,6353.3,0.62346,4,7.241395132492702,2.087321454878715,164.11599999999999,101.884,50.942,nbo,21.67946,21.68005,21.68156,90.25891,90.25757,90.01456999999998,0.42053,10190.38262,204.0,316.0,96,48,0,48,V12 H48 C96 O48,0.07145,0.05054,0.04414
SR_the_v1-3c_B_Ch_v2-8c_Co_2_Ch_1TrU_Ch_1x1x1,23.15061,15.72414,23.14564,15.74325,15.74325,23.15061,23.15061,15.71245,23.10203,16210.6,4583.66,10612.8,0.65468,16,13.928009815603161,4.904233977544914,348.30800000000005,271.182,58.933,the,25.2992,25.30831,25.31804,90.00371,90.00118,90.00227,0.36876,16210.62919,279.0,372.0,144,48,72,0,Co12 H48 C144 N72 Cl3,0.34818000000000005,0.09775,0.97187
SR_ltae_v1-6c_Cr_1_Ch_v2-6c_Cr_1_Ch_v3-6c_Cr_1_Ch_2B_2Br_Ch_1x1x1,68.33731,25.60183,68.33731,25.76983,25.43137,68.33731,68.33731,25.76983,68.33731,372036,2776.85,280247,0.75328,6,11.650948953082914,3.093745248945688,555.798,171.987,51.996,ltae,71.88494,71.92969000000002,71.95161,90.01369,90.10419,90.13051,0.39407,372035.84458,3936.0,6174.0,2016,576,0,624,Cr144 H576 C2016 Br576 O624,0.08489,0.15984,0.11996
SR_wmc_v1-6c_Zn_1_Ch_1DoU_Ch_1x1x2,8.36347,4.98402,7.58529,5.08046,5.08046,7.93107,7.93107,4.74345,8.29657,36648.6,3207.88,10998.2,0.3001,6,6.118187894879005,3.1884183158227524,114.056,277.519,65.38,wmc,31.493540000000007,31.49903,42.48553,90.11608,90.03511,119.59254,1.01099,36648.59396000001,1260.0,1891.0,432,216,0,468,Zn144 H216 C432 O468,0.11292,0.07372000000000001,0.09543
SR_qom_v1-3c_triazine_Ch_v2-3c_triazine_Ch_v3-3c_triazine_Ch_v4-6c_Zr_1_Ch_v5-6c_Zr_1_Ch_ntn_edge_1B_2SH_Ch_2x2x1,8.97614,5.04004,8.64816,5.87660,5.87660,8.85407,8.85407,5.16262,8.29893,79480.9,2273.64,16148.9,0.20318,6,12.448436829417016,11.138903356475,490.51599999999996,889.498,32.06,qom,32.52534,51.63591,52.5377,115.52589,89.19536,93.35072,1.15683,79480.93724,3648.0,6183.0,960,1088,192,1024,Zr192 H1088 C960 S192 N192 O1024,0.05226,0.07541,0.03123
SR_ced_v1-3c_triazine_Ch_v2-12c_Mn_1_Ch_1B_2TrU_Ch_ntn_edge_1x1x2,16.93941,11.36335,16.17235,12.57505,11.36335,16.93941,16.92776,12.57505,16.92776,29416,5622.32,18822.7,0.63988,24,28.50149134922629,6.5979217276522775,828.71,487.501,54.938,ced,27.3568,27.368440000000003,45.3354,89.96748000000002,89.96061,60.06865,0.33572,29415.97837,502.0,676.0,300,96,36,54,Mn16 H96 C300 N36 O54,0.08979,0.08365,0.11229
SR_kxe_v1-3c_B_Ch_v2-12c_Eu_1_Ch_1B_2TrU_Ch_ntn_edge_1x1x1,22.90417,10.60896,22.90417,10.67330,10.67330,22.25914,22.25914,9.96421,22.54546,109264,5200.35,75014,0.68654,12,28.90938970895153,5.689313750519122,822.7819999999999,132.024,151.96,kxe,36.97422,37.13093,91.74061,89.95546,89.95968,60.17189000000001,0.32025,109263.84254,1656.0,2475.0,1008,420,0,192,Eu36 H420 C1008 O192,0.06583,0.05787000000000001,0.06948
SR_wkl_v1-6c_Al_1_Ch_2B_fused_Ch_1x1x1,43.52572,42.84998,43.52572,42.84998,6.63640,43.51053,43.52572,6.42403,43.51053,93190.2,4695.28,64159.6,0.68848,6,9.266641827377061,3.076275627087564,214.175,96.945,26.982,wkl,26.629790000000003,63.0799,63.78676,60.42729,89.8123,89.79817,0.31623,93190.22763,1680.0,2567.0,864,432,0,312,Al72 H432 C864 O312,0.14276,0.12089,0.0838
SR_raa_v1-3c_pyrrole_Ch_v2-3c_Cu_imadazoline_Ch_1B_2OH_Ch_1x1x1,31.93293,25.51009,31.93293,25.51009,25.51009,31.92387,31.93293,25.51009,31.92387,75104.6,5190.21,65351.5,0.87014,2,10.099599086878943,0.0,240.22099999999998,63.54600000000001,63.54600000000001,raa,35.22531,36.99646,58.76161,90.30451,90.6373,101.23453,0.13746,75104.56509,536.0,708.0,248,160,56,48,Cu24 H160 C248 N56 O48,0.17923,0.16995,0.27492
SR_urz_v1-8c_Co_2_Ch_v2-4c_porphyrin_Ch_v3-3c_B_Ch_1B_2furan_Ch_1x1x1,22.15443,17.62614,22.12367,17.78468,17.78468,22.10342,22.10342,13.99882,22.10342,98147.5,5420.5,75542.2,0.76968,16,65.96069093852634,4.922844457797441,3016.768,271.182,58.933,urz,37.4241,37.74464,69.48218,89.92545,89.92616,89.9608,0.22251,98147.50185,1260.0,1940.0,720,312,112,96,Co16 H312 C720 N112 Cl4 O96,0.29762,0.32039,0.37595
SR_uns_v1-4c_V_1_Ch_1B_2NH2_Ch_1x1x1,16.69095,7.96882,16.26431,7.96882,7.96882,16.20677,16.26431,7.96882,16.23471,56002.7,4215.77,29666.8,0.52974,4,7.485049112258048,2.085526415807049,194.145,101.884,50.942,uns,38.21866,40.88996,41.08346,119.27071,90.62431,89.74942,0.52323,56002.65991,1512.0,2316.0,576,432,144,288,V72 H432 C576 N144 O288,0.15474000000000002,0.15458,0.19386
SR_uns_v1-4c_V_1_Ch_2B_4H_Ch_1x1x1,25.38895,14.80267,25.24055,14.80267,13.07100,24.95694,25.24055,13.07100,24.95694,153452,5534.52,117412,0.76514,4,11.654617800132485,2.086720896449261,240.213,101.884,50.942,uns,54.02219,56.98563000000001,57.19377,60.63947,89.68666999999998,89.81636999999998,0.22684,153452.12447,1944.0,3144.0,1008,576,0,288,V72 H576 C1008 O288,0.74443,0.87156,0.22885
SR_fte_v1-4c_Cd_1_Ch_v2-4c_bicyclooctane_Ch_2B_fused_Ch_ntn_edge_1x1x1,17.62043,12.35020,17.61626,12.35020,4.56909,17.56334,17.61626,4.37128,17.61981,15921.5,3510.71,7540.12,0.47358,7,17.52008838984978,0.0,1257.18,112.4,112.41,fte,22.74909,26.45706,26.45795,90.09739,90.10375,91.0706,0.67013,15921.52774,432.0,726.0,208,80,0,128,Cd16 H80 C208 O128,0.31776,0.18327,0.28262
SR_xbb_v1-8c_Co_2_Ch_v2-5c_bicyclooctane_Ch_v3-4c_bicyclooctane_Ch_1TrU_Ch_1DoU_Ch_2TrU_Ch_1x1x1,15.36784,8.55562,15.36784,8.55562,8.55562,15.36784,15.36784,8.55562,14.41802,15822.2,4746.84,8775,0.5546,16,44.17656752471115,4.943736551953492,3716.0240000000003,271.182,58.933,xbb,24.07063,25.6358,25.72855,94.61177,90.01006,91.05199,0.41845,15822.223,421.0,593.0,250,124,42,0,Co4 H124 C250 N42 Cl1,0.44939,0.51069,0.28059
